"name"   "avgft"   "maxft"   "RMSFT"   "avgstretch"   "maxstretch"   "RMSS"   "avgbsld"   "maxbsld"   "RMSBSLD"
"simulations/sgd_weighted_asym_strong_abs_cor_recu"   6657.0638033092   192050   NA   10.4821815016734   54228   231.479170764776   6.61738140532807   7895   87.4927625092456
"simulations/sgd_weighted_asym_weak_abs_cor_tsaf"   6636.45153610579   199478   NA   10.6114954883221   52960   220.401680144606   6.29947936847394   5296   74.8174923212913
"simulations/sgd_weighted_asym_weak_squared_cor_reqt"   6609.32607213583   198486   NA   10.635954251186   56671   229.715808732432   6.24014563113987   5667.1   74.9601946342992
"simulations/sgd_asym_strong_abs_cor_recu"   6602.03046240085   218759   NA   10.6526666097163   53091   240.596341135138   6.47084878061044   5309.1   79.249865677596
"simulations/sgd_asym_weak_squared_cor_tsaf"   6620.05069852504   197772   NA   10.7075668851644   56671   239.256480353263   6.26726099736433   5667.1   77.323170937232
"simulations/sgd_weighted_asym_weak_squared_cor_recu"   6586.95268318021   201019   NA   10.8162274038122   57618   221.772166088663   5.91364902211126   5761.8   73.6306902592405
"simulations/sgd_asym_strong_abs_cor_reqt"   6612.34603231287   218483   NA   10.8790376334402   52737   238.577116023833   6.56291468271068   5273.7   79.4671300041812
"simulations/sgd_asym_strong_squared_cor_reqt"   6632.02941271954   218095   NA   10.951394398381   56219   245.550354372221   6.42723951336072   8470.8   80.2997228627182
"simulations/sgd_weighted_asym_strong_abs_cor_reqt"   6663.45157398089   191997   NA   11.0011409029863   56671   237.636809200041   6.7985024450233   7854.9   87.9340790569122
"simulations/sgd_weighted_asym_strong_squared_cor_tsaf"   6650.36308692876   207115   NA   11.0496802665833   53735   242.515514813256   6.42911421034989   7601.3   80.676511092933
"simulations/sgd_weighted_asym_weak_squared_cor_tsaf"   6613.13652890952   208796   NA   11.1180823588184   52737   240.095856103004   5.96540025646013   5273.7   73.691251780849
"simulations/sgd_weighted_asym_strong_squared_cor_recu"   6634.4219610644   216821   NA   11.1301626982991   53349   256.636161091269   6.28043868194806   6718.8   82.2970573577046
"simulations/sgd_asym_weak_abs_cor_reqt"   6538.7864277289   231967   NA   11.1401992436398   53825   225.159040566726   5.67574483916091   5382.5   65.5129599016056
"simulations/sgd_weighted_asym_weak_abs_cor_recu"   6617.99192719324   201889   NA   11.235852720144   51745   224.706292663379   6.33915730103843   5829.3   72.7025088003711
"simulations/sgd_asym_strong_squared_cor_tsaf"   6664.63863909359   199073   NA   11.4386561984642   55177   249.440592040174   6.68277066577284   8700.7   82.9536683566871
"simulations/clairvoyant"   6871.05123959787   197516   NA   13.3175914295168   24168   232.007490573038   6.14100881508037   5436.3   65.886509964848
"name"   "avgft"   "maxft"   "RMSFT"   "avgstretch"   "maxstretch"   "RMSS"   "avgbsld"   "maxbsld"   "RMSBSLD"
"simulations/sgd_weighted_symm_abs_cor_recu"   2609   2609   2609   1   1   1   1   1   1
"simulations/sgd_symm_squared_cor_recu"   13221.612394688   1662846   NA   11.825124727697   12790.3615384615   112.877436974749   10.4924345824305   12790.3615384615   80.2778608293824
"simulations/sgd_symm_abs_cor_recu"   13215.8836355847   2035412   NA   12.0510916266943   15656.2538461538   113.326342342509   10.7156459956836   15656.2538461538   90.2314889433475
"simulations/sgd_weighted_symm_squared_cor_reqt"   13221.0877623875   415767   NA   12.2742581070162   9527   88.1883221365441   11.1376512559841   3989.02564102564   58.5585244833775
"simulations/sgd_weighted_symm_abs_cor_reqt"   13378.6946451521   381175   NA   12.4619169421576   15577.8   115.285212109405   11.1023884521001   7788.9   68.0790025341021
"simulations/tsaf_cor_reqt"   13185.377852349   1190597   NA   12.4857038253396   9157.67692307692   89.1160882860409   11.9262552953445   9157.67692307692   79.9247994254959
"simulations/clairvoyant"   13570.5649150364   185764   NA   12.5757735825721   12840   119.705282133481   10.7683645016567   2025.95   48.0942652459467
"simulations/sgd_symm_squared_cor_reqt"   13093.6072825932   1187152   NA   13.109962124695   12606   122.037382292891   11.1045175986529   5195.91538461538   60.1457757821603
