
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 docopt.py:232(Optional)
        1    0.000    0.000    0.000    0.000 docopt.py:234(match)
        1    0.000    0.000    0.000    0.000 docopt.py:241(OptionsShortcut)
        1    0.000    0.000    0.000    0.000 docopt.py:246(OneOrMore)
        1    0.000    0.000    0.000    0.000 docopt.py:268(Either)
        1    0.000    0.000    0.000    0.000 docopt.py:282(Tokens)
        2    0.000    0.000    0.000    0.000 docopt.py:284(__init__)
        1    0.000    0.000    0.001    0.001 docopt.py:288(from_pattern)
        8    0.000    0.000    0.000    0.000 docopt.py:294(move)
       28    0.000    0.000    0.000    0.000 docopt.py:297(current)
        1    0.000    0.000    0.000    0.000 docopt.py:32(Pattern)
        4    0.000    0.000    0.000    0.000 docopt.py:34(__eq__)
        1    0.000    0.000    0.001    0.001 docopt.py:369(parse_pattern)
        2    0.000    0.000    0.000    0.000 docopt.py:37(__hash__)
      3/1    0.000    0.000    0.000    0.000 docopt.py:377(parse_expr)
      3/1    0.000    0.000    0.000    0.000 docopt.py:390(parse_seq)
        1    0.000    0.000    0.000    0.000 docopt.py:40(fix)
      4/1    0.000    0.000    0.000    0.000 docopt.py:402(parse_atom)
        1    0.000    0.000    0.000    0.000 docopt.py:428(parse_argv)
      3/1    0.000    0.000    0.000    0.000 docopt.py:45(fix_identities)
        1    0.000    0.000    0.002    0.002 docopt.py:452(parse_defaults)
        2    0.000    0.000    0.002    0.001 docopt.py:464(parse_section)
        1    0.000    0.000    0.000    0.000 docopt.py:470(formal_usage)
        3    0.000    0.000    0.000    0.000 docopt.py:473(<genexpr>)
        1    0.000    0.000    0.000    0.000 docopt.py:476(extras)
        3    0.000    0.000    0.000    0.000 docopt.py:477(<genexpr>)
        3    0.000    0.000    0.000    0.000 docopt.py:480(<genexpr>)
        1    0.000    0.000    0.000    0.000 docopt.py:485(Dict)
        1    0.000    0.000    0.005    0.005 docopt.py:490(docopt)
        1    0.000    0.000    0.000    0.000 docopt.py:57(fix_repeating_arguments)
        5    0.000    0.000    0.000    0.000 docopt.py:580(<genexpr>)
        1    0.000    0.000    0.000    0.000 docopt.py:72(transform)
